kuji_id,kuji_name,grade,grade_jp,grade_name,name,image,thumbnail,url,rate,price,status
oishii-key,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),아크릴상,アクリル賞,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),치이카와,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/chiikawa/oishii-key/1.webp,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/chiikawa/oishii-key/thumbnail.webp,https://online-kuji.chiikawamarket.jp/store/lottery/oishii-key3,7.142,400,end
oishii-key,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),아크릴상,アクリル賞,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),하치와레,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/chiikawa/oishii-key/2.webp,,,7.142,400,end
oishii-key,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),아크릴상,アクリル賞,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),우사기,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/chiikawa/oishii-key/3.webp,,,7.142,400,end
oishii-key,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),아크릴상,アクリル賞,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),모몽가,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/chiikawa/oishii-key/4.webp,,,7.142,400,end
oishii-key,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),아크릴상,アクリル賞,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),식판 밥,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/chiikawa/oishii-key/5.webp,,,7.142,400,end
oishii-key,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),아크릴상,アクリル賞,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),하치와레와 빙수,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/chiikawa/oishii-key/6.webp,,,7.142,400,end
oishii-key,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),아크릴상,アクリル賞,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),시사,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/chiikawa/oishii-key/7.webp,,,7.142,400,end
oishii-key,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),아크릴상,アクリル賞,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),쿠리만쥬,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/chiikawa/oishii-key/8.webp,,,7.142,400,end
oishii-key,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),아크릴상,アクリル賞,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),랏코,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/chiikawa/oishii-key/9.webp,,,7.142,400,end
oishii-key,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),아크릴상,アクリル賞,왠지 맛있네!! 아크릴 스탠드도 되는 아크릴 키링 (14종),토스트,https://cdn.jsdelivr.net/gh/ngnkuma/ngnkuma.github.io/kuji/img/chiikawa/oishii-key/10.webp,,,7.142,400,end
